encodeur,condition,variante,vrai,predit,n
A0 ep200,image,brute,cardiaque,sein,1
A0 ep200,image,brute,thyroide,foetal,1
A0 ep200,image,brute,thyroide,cardiaque,0
A0 ep200,image,brute,thyroide,thyroide,355
A0 ep200,image,brute,thyroide,sein,4
A0 ep200,image,brute,sein,foetal,0
A0 ep200,image,brute,sein,cardiaque,0
A0 ep200,image,brute,sein,thyroide,3
A0 ep200,image,brute,sein,sein,344
A0 ep200,source,equilibree,foetal,foetal,1459
A0 ep200,source,equilibree,foetal,cardiaque,399
A0 ep200,source,equilibree,foetal,thyroide,76
A0 ep200,source,equilibree,foetal,sein,166
A0 ep200,source,equilibree,cardiaque,foetal,798
A0 ep200,source,equilibree,cardiaque,cardiaque,665
A0 ep200,source,equilibree,cardiaque,thyroide,295
A0 ep200,source,equilibree,cardiaque,sein,42
A0 ep200,source,equilibree,thyroide,foetal,81
A0 ep200,source,equilibree,thyroide,cardiaque,7
A0 ep200,source,equilibree,thyroide,thyroide,849
A0 ep200,source,equilibree,thyroide,sein,263
A0 ep200,source,equilibree,sein,foetal,52
A0 ep200,source,equilibree,sein,cardiaque,4
A0 ep200,source,equilibree,sein,thyroide,175
A0 ep200,source,equilibree,sein,sein,925
A0 ep200,source,brute,foetal,foetal,1458
A0 ep200,source,brute,foetal,cardiaque,424
A0 ep200,source,brute,foetal,thyroide,73
A0 ep200,source,brute,foetal,sein,145
A0 ep200,source,brute,cardiaque,foetal,831
A0 ep200,source,brute,cardiaque,cardiaque,643
A0 ep200,source,brute,cardiaque,thyroide,296
A0 ep200,source,brute,cardiaque,sein,30
A0 ep200,source,brute,thyroide,foetal,85
A0 ep200,source,brute,thyroide,cardiaque,7
A0 ep200,source,brute,thyroide,thyroide,855
A0 ep200,source,brute,thyroide,sein,253
A0 ep200,source,brute,sein,foetal,54
A0 ep200,source,brute,sein,cardiaque,4
A0 ep200,source,brute,sein,thyroide,170
A0 ep200,source,brute,sein,sein,928
A0 ep300,image,equilibree,foetal,foetal,629
A0 ep300,image,equilibree,foetal,cardiaque,0
A0 ep300,image,equilibree,foetal,thyroide,0
A0 ep300,image,equilibree,foetal,sein,1
A0 ep300,image,equilibree,cardiaque,foetal,2
A0 ep300,image,equilibree,cardiaque,cardiaque,538
A0 ep300,image,equilibree,cardiaque,thyroide,0
A0 ep300,image,equilibree,cardiaque,sein,0
A0 ep300,image,equilibree,thyroide,foetal,0
A0 ep300,image,equilibree,thyroide,cardiaque,0
A0 ep300,image,equilibree,thyroide,thyroide,355
A0 ep300,image,equilibree,thyroide,sein,5
A0 ep300,image,equilibree,sein,foetal,0
A0 ep300,image,equilibree,sein,cardiaque,0
A0 ep300,image,equilibree,sein,thyroide,6
A0 ep300,image,equilibree,sein,sein,341
A0 ep300,image,brute,foetal,foetal,630
A0 ep300,image,brute,foetal,cardiaque,0
A0 ep300,image,brute,foetal,thyroide,0
A0 ep300,image,brute,foetal,sein,0
A0 ep300,image,brute,cardiaque,foetal,2
A0 ep300,image,brute,cardiaque,cardiaque,538
A0 ep300,image,brute,cardiaque,thyroide,0
A0 ep300,image,brute,cardiaque,sein,0
A0 ep300,image,brute,thyroide,foetal,0
A0 ep300,image,brute,thyroide,cardiaque,0
A0 ep300,image,brute,thyroide,thyroide,355
A0 ep300,image,brute,thyroide,sein,5
A0 ep300,image,brute,sein,foetal,0
A0 ep300,image,brute,sein,cardiaque,0
A0 ep300,image,brute,sein,thyroide,5
A0 ep300,image,brute,sein,sein,342
A0 ep300,source,equilibree,foetal,foetal,1348
A0 ep300,source,equilibree,foetal,cardiaque,474
A0 ep300,source,equilibree,foetal,thyroide,70
A0 ep300,source,equilibree,foetal,sein,208
A0 ep300,source,equilibree,cardiaque,foetal,666
A0 ep300,source,equilibree,cardiaque,cardiaque,815
A0 ep300,source,equilibree,cardiaque,thyroide,299
A0 ep300,source,equilibree,cardiaque,sein,20
A0 ep300,source,equilibree,thyroide,foetal,61
A0 ep300,source,equilibree,thyroide,cardiaque,5
A0 ep300,source,equilibree,thyroide,thyroide,844
A0 ep300,source,equilibree,thyroide,sein,290
A0 ep300,source,equilibree,sein,foetal,27
A0 ep300,source,equilibree,sein,cardiaque,2
A0 ep300,source,equilibree,sein,thyroide,179
A0 ep300,source,equilibree,sein,sein,948
A0 ep300,source,brute,foetal,foetal,1361
A0 ep300,source,brute,foetal,cardiaque,473
A0 ep300,source,brute,foetal,thyroide,73
A0 ep300,source,brute,foetal,sein,193
A0 ep300,source,brute,cardiaque,foetal,707
A0 ep300,source,brute,cardiaque,cardiaque,787
A0 ep300,source,brute,cardiaque,thyroide,286
A0 ep300,source,brute,cardiaque,sein,20
A0 ep300,source,brute,thyroide,foetal,64
A0 ep300,source,brute,thyroide,cardiaque,5
A0 ep300,source,brute,thyroide,thyroide,839
A0 ep300,source,brute,thyroide,sein,292
A0 ep300,source,brute,sein,foetal,30
A0 ep300,source,brute,sein,cardiaque,4
A0 ep300,source,brute,sein,thyroide,186
A0 ep300,source,brute,sein,sein,936
FOETAL ep50,image,equilibree,foetal,foetal,626
FOETAL ep50,image,equilibree,foetal,cardiaque,1
FOETAL ep50,image,equilibree,foetal,thyroide,1
FOETAL ep50,image,equilibree,foetal,sein,2
FOETAL ep50,image,equilibree,cardiaque,foetal,1
