encodeur,condition,variante,vrai,predit,n
A0 ep300,image,brute,thyroide,foetal,1
A0 ep300,image,brute,thyroide,cardiaque,0
A0 ep300,image,brute,thyroide,thyroide,263
A0 ep300,image,brute,thyroide,sein,6
A0 ep300,image,brute,sein,foetal,2
A0 ep300,image,brute,sein,cardiaque,0
A0 ep300,image,brute,sein,thyroide,7
A0 ep300,image,brute,sein,sein,338
A0 ep300,source,equilibree,foetal,foetal,1315
A0 ep300,source,equilibree,foetal,cardiaque,259
A0 ep300,source,equilibree,foetal,thyroide,144
A0 ep300,source,equilibree,foetal,sein,82
A0 ep300,source,equilibree,cardiaque,foetal,848
A0 ep300,source,equilibree,cardiaque,cardiaque,648
A0 ep300,source,equilibree,cardiaque,thyroide,274
A0 ep300,source,equilibree,cardiaque,sein,30
A0 ep300,source,equilibree,thyroide,foetal,90
A0 ep300,source,equilibree,thyroide,cardiaque,6
A0 ep300,source,equilibree,thyroide,thyroide,703
A0 ep300,source,equilibree,thyroide,sein,101
A0 ep300,source,equilibree,sein,foetal,50
A0 ep300,source,equilibree,sein,cardiaque,4
A0 ep300,source,equilibree,sein,thyroide,173
A0 ep300,source,equilibree,sein,sein,929
A0 ep300,source,brute,foetal,foetal,1322
A0 ep300,source,brute,foetal,cardiaque,264
A0 ep300,source,brute,foetal,thyroide,135
A0 ep300,source,brute,foetal,sein,79
A0 ep300,source,brute,cardiaque,foetal,904
A0 ep300,source,brute,cardiaque,cardiaque,594
A0 ep300,source,brute,cardiaque,thyroide,274
A0 ep300,source,brute,cardiaque,sein,28
A0 ep300,source,brute,thyroide,foetal,88
A0 ep300,source,brute,thyroide,cardiaque,6
A0 ep300,source,brute,thyroide,thyroide,703
A0 ep300,source,brute,thyroide,sein,103
A0 ep300,source,brute,sein,foetal,50
A0 ep300,source,brute,sein,cardiaque,4
A0 ep300,source,brute,sein,thyroide,163
A0 ep300,source,brute,sein,sein,939
FOETAL ep50,image,equilibree,foetal,foetal,533
FOETAL ep50,image,equilibree,foetal,cardiaque,3
FOETAL ep50,image,equilibree,foetal,thyroide,0
FOETAL ep50,image,equilibree,foetal,sein,4
FOETAL ep50,image,equilibree,cardiaque,foetal,2
FOETAL ep50,image,equilibree,cardiaque,cardiaque,537
FOETAL ep50,image,equilibree,cardiaque,thyroide,0
FOETAL ep50,image,equilibree,cardiaque,sein,1
FOETAL ep50,image,equilibree,thyroide,foetal,1
FOETAL ep50,image,equilibree,thyroide,cardiaque,0
FOETAL ep50,image,equilibree,thyroide,thyroide,263
FOETAL ep50,image,equilibree,thyroide,sein,6
FOETAL ep50,image,equilibree,sein,foetal,1
FOETAL ep50,image,equilibree,sein,cardiaque,0
FOETAL ep50,image,equilibree,sein,thyroide,9
FOETAL ep50,image,equilibree,sein,sein,337
FOETAL ep50,image,brute,foetal,foetal,536
FOETAL ep50,image,brute,foetal,cardiaque,1
FOETAL ep50,image,brute,foetal,thyroide,0
FOETAL ep50,image,brute,foetal,sein,3
FOETAL ep50,image,brute,cardiaque,foetal,0
